,lidar_loss,lidar_AvQ,lidar_MaxQ
1,19.783537198014777,0.9627687896727944,4.696321347957062
2,7.737558368598682,3.941873321649951,24.625822068942664
3,11.588546674025764,9.50064438812379,40.011981521012366
4,27.2873828498013,14.958768619664461,53.54926536990329
5,51.89038159156903,19.371541767881606,62.09461244171395
6,76.48334643202053,23.781216769237126,67.69202395804061
7,92.00667735144003,27.84434191449992,68.83855517798327
8,100.0,31.95476235245026,68.43916072461789
9,99.65193059844299,35.41372904212645,68.06520473146608
10,94.89338607473239,39.158835027022185,68.5123814781252
11,83.86339053243861,42.400223288530825,70.66397256972523
12,77.50338119454611,45.73737797793348,73.77271620424915
13,72.03453936945394,48.93985510026581,74.68168634047213
14,63.740226763461536,51.77245708597581,75.6831014290613
15,57.0887603514384,54.992807014595556,76.98899656871494
16,54.85232967960304,57.55454244611814,77.9083071358038
17,49.38732267347546,60.042826034178596,79.28733550415697
18,44.55865187697597,63.5597102343536,81.13715356196272
19,40.50881222982265,66.13015482754433,80.66713284046448
20,39.45266625538053,68.37651079909624,81.38836226392918
21,36.39561682358912,71.12245451233397,82.47613307896957
22,35.144699418981595,73.43116977252917,83.15213093211106
23,33.14076006328535,75.93628508383784,83.92108638292166
24,29.54807633456304,78.8690001512477,84.66775426659994
25,31.21419684645721,82.04672909148542,85.45273300901223
26,30.26093559833196,84.98930538199768,86.52384910348026
27,28.212297311131103,86.85738885170232,86.15257512051072
28,28.494611483549548,88.84317283637843,88.92194756451282
29,29.95550960031762,92.06629194018878,91.57006063906239
30,29.43420171039425,95.04926436649674,94.73453256907504
31,28.266659119800718,97.44468546133349,96.93359961714148
32,29.800890024650084,100.0,100.0
