,lidar_loss,lidar_AvQ,lidar_MaxQ
1,3566.911865234375,11.119440078735352,91.69902801513672
2,1395.058349609375,45.52642822265625,480.8367614746094
3,2089.3798828125,109.72711944580078,781.2625122070312
4,4919.83251953125,172.76539611816406,1045.587646484375
5,9355.6787109375,223.73045349121094,1212.441650390625
6,13789.7158203125,274.65972900390625,1321.735107421875
7,16588.525390625,321.5865478515625,1344.1219482421875
8,18029.697265625,369.0596008300781,1336.323486328125
9,17966.94140625,409.00872802734375,1329.021728515625
10,17108.990234375,452.2626037597656,1337.753173828125
11,15120.3154296875,489.6988220214844,1379.7645263671875
12,13973.625,528.2410888671875,1440.4649658203125
13,12987.609375,565.2279052734375,1458.2132568359375
14,11492.169921875,597.94287109375,1477.7666015625
15,10292.9306640625,635.1361083984375,1503.26513671875
16,9889.708984375,664.7227172851562,1521.21533203125
17,8904.384765625,693.4609985351562,1548.141845703125
18,8033.7900390625,734.0790405273438,1584.2608642578125
19,7303.6162109375,763.7662353515625,1575.0833740234375
20,7113.1962890625,789.7103881835938,1589.1658935546875
21,6562.01953125,821.4244995117188,1610.4053955078125
22,6336.48291015625,848.0888671875,1623.604736328125
